uniprot	Gene Symbol	Gene (Peptide)...3	description	MitoCarta2.0	MOM_TING	Group ID	Number of Peptides Quantified	UT1_ratio	AO1_ratio	UT2_ratio	AO2_ratio	UT3_ratio	AO3_ratio	UT4_ratio	AO4_ratio	UT5_ratio	AO5_ratio	Gene (Peptide)...21	Welch's T-test Significant	welch_p_value	welch_log_fc	gene_name	id	log_fc	p_value	fdr	ave_ratio
P58742	Aaas	Aaas (#5)	Aladin OS=Mus musculus GN=Aaas PE=1 SV=1	NA	NA	4222	5	0.8378745474810388	0.7898266650491053	0.9879728663380768	0.7399505258258949	0.997703522398486	0.809650337322219	1.1090398620958761	0.9866018878097196	1.0674092016865224	0.8941635474680586	Aaas (#5)	NA	0.04062468438998803	-0.245565	AAAS	P58742	-0.22848066951913787	0.022214670929465136	0.06395731318783986	-0.1211892771121324
Q9D2R0	Aacs	Aacs (#9)	Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=1 SV=1	NA	NA	1992	9	0.9550000458443757	1.2322503460069638	1.0455852897813678	1.3313766975692714	0.9378387814996278	1.2520457722123763	1.083619151112176	1.181211846443655	0.977956731762453	1.1350170491221618	Aacs (#9)	NA	7.358003668117968e-4	0.294498	AACS	Q9D2R0	0.3115822345895145	1.996422103656074e-4	0.0030606912397962605	0.15314987711707495
Q8R2R3	Aagab	Aagab (#3)	Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus GN=Aagab PE=1 SV=2	NA	NA	4112	3	0.8843881111296379	1.0135713939424833	1.0484662595619487	1.038376580280122	1.0304217176223651	1.214594240378594	0.9690774917498759	1.0632866342449767	1.0676464199361717	1.141036811339976	Aagab (#3)	NA	0.09577231824721197	0.129949	AAGAB	Q8R2R3	0.1470333273272172	0.04673632205804537	0.10920272486853709	0.06975324687884257
Q3UHJ0	Aak1	Aak1 (#56)	AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2	NA	NA	93	56	0.9750891178295035	0.8714100439222112	1.0286463292318744	0.9167198969515459	1.0285669110348228	0.9392905571211594	0.9740879683672147	0.9124765758720673	0.9936096735365849	0.9274839059279694	Aak1 (#56)	NA	8.901639455394207e-4	-0.130598	AAK1	Q3UHJ0	-0.11351332717162904	0.015980577322966646	0.051313404083755836	-0.05762427829362085
Q8R0P4	Aamdc	Aamdc (#4)	Mth938 domain-containing protein OS=Mus musculus GN=Aamdc PE=1 SV=1	NA	NA	4396	4	0.8427071764964424	1.0293175077572627	1.117457976011249	1.2897241914809963	0.927693745305418	1.2177979176059082	1.083888925449908	1.1491586590490133	1.0282521767369819	1.165485941977316	Aamdc (#4)	NA	0.04027819498736889	0.230616	AAMDC	Q8R0P4	0.24770062778478746	0.01411475888173259	0.0472886003241764	0.11570103790739572
Q8BGQ7	Aars	Aars (#81)	Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1	NA	NA	2057	81	0.9214165009232427	0.985343573895938	1.0442442629111064	1.1861581568825326	1.032543477318841	1.1909378460076074	0.9506460295696076	1.126193157793999	1.0511497292772023	1.1806207867252971	Aars (#81)	NA	0.0260861507675927	0.179712	AARS	Q8BGQ7	0.19679627419042703	0.012337148582054633	0.04332895248778873	0.09586485646708642
Q14CH7	Aars2	Aars2 (#6)	Alanine--tRNA ligase, mitochondrial OS=Mus musculus GN=Aars2 PE=1 SV=1	+	NA	2599	6	1.0408609567828169	1.0041100872725033	1.0198079472792603	0.8890654322554232	0.9991281731376899	0.9636609222330108	1.0000373714565127	0.8993785382828685	0.9401655513437205	0.8601605869432997	Aars2 (#6)	NA	0.04636070162777065	-0.11666	AARS2	Q14CH7	-0.09957575960014922	0.07143904822946676	0.14757306693372343	-0.051056816500950064
Q3THG9	Aarsd1	Aarsd1 (#7)	Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus GN=Aarsd1 PE=1 SV=2	NA	NA	513	7	0.8671362114278496	0.9073613532757705	1.0877045175801954	1.0884071228176857	0.946830220082831	1.1156554634131928	1.0950332645467165	1.1901477643135714	1.003295786362407	1.0844053764087271	Aarsd1 (#7)	NA	0.27224693556552687	0.107077	AARSD1	Q3THG9	0.1241621754753627	0.1565689069793289	0.2638412327928624	0.05614403600800899
Q9CQF6	Aasdhppt	Aasdhppt (#1)	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Mus musculus GN=Aasdhppt PE=1 SV=1	NA	NA	4356	1	0.9818824034729472	1.1046221083356924	1.0248303125478653	1.0940533913698351	0.9838405453834558	1.1851454044134926	1.0793248737832142	1.052937413298756	0.9301218648125178	1.044666117342928	Aasdhppt (#1)	NA	0.025050130921665317	0.132927	AASDHPPT	Q9CQF6	0.15001217442161263	0.011451385794538155	0.04126060953043558	0.0727906108397817
Q80YE4	Aatk	Aatk (#7)	Serine/threonine-protein kinase LMTK1 OS=Mus musculus GN=Aatk PE=1 SV=1	NA	NA	2274	7	0.956828345196491	0.6803272956880577	0.994509314272481	0.7337072174631796	1.0193024508251223	0.767512047376869	1.0240433880445263	0.8083694971267188	1.0053165016613792	0.8336305134373608	Aatk (#7)	NA	9.219343574515596e-4	-0.390299	AATK	Q80YE4	-0.3732137388578321	2.6493484068080167e-5	9.901458910552114e-4	-0.18746771038878215
